Node;Process;Thread;System (%);Binary (%);MPI (%);Nb Cycle Events;OMP (%);Others (%);String (%);Memory (%);IO (%);Time (s);Math (%);Pthread (%);
_ALL;_ALL;_ALL;0.14;99.71;0;1399;0.14;0;0;0;0;3.5;0;0;
knl03;_ALL;_ALL;0.14;99.71;0;1399;0.14;0;0;0;0;3.5;0;0;
knl03;1138580;_ALL;0.14;99.71;0;1399;0.14;0;0;0;0;3.5;0;0;
knl03;1138580;1138580;0.29;99.71;0;700;0;0;0;0;0;3.5;0;0;
knl03;1138580;1138837;0;99.71;0;699;0.29;0;0;0;0;3.49;0;0;
