loop_id;module;function_name;function_id;source_info;level;time_p;time_s;time_s_min;time_s_avg;time_s_max;cov_deviation;nb_threads;
4;nbody3.g;move_particles._omp_fn.0;8;;Innermost;61.54;0.08;;;;;;
3;nbody3.g;move_particles._omp_fn.0;8;;Outermost;3.85;0;;;;;;
