Node;Process;Thread;System (%);Binary (%);MPI (%);Nb Cycle Events;OMP (%);Others (%);String (%);Memory (%);IO (%);Time (s);Math (%);Pthread (%);
_ALL;_ALL;_ALL;0.16;99.84;0;1266;0;0;0;0;0;6.33;0;0;
knl03;_ALL;_ALL;0.16;99.84;0;1266;0;0;0;0;0;6.33;0;0;
knl03;969792;_ALL;0.16;99.84;0;1266;0;0;0;0;0;6.33;0;0;
knl03;969792;969792;0.16;99.84;0;1266;0;0;0;0;0;6.33;0;0;
