Node;Process;Thread;System (%);Binary (%);MPI (%);Nb Cycle Events;OMP (%);Others (%);String (%);Memory (%);IO (%);Time (s);Math (%);Pthread (%);
_ALL;_ALL;_ALL;0;99.89;0;1764;0.06;0.06;0;0;0;4.41;0;0;
knl03;_ALL;_ALL;0;99.89;0;1764;0.06;0.06;0;0;0;4.41;0;0;
knl03;1137401;_ALL;0;99.89;0;1764;0.06;0.06;0;0;0;4.41;0;0;
knl03;1137401;1137401;0;99.89;0;883;0;0.11;0;0;0;4.41;0;0;
knl03;1137401;1137689;0;99.89;0;881;0.11;0;0;0;0;4.4;0;0;
