Node;Process;Thread;System (%);Binary (%);MPI (%);Nb Cycle Events;OMP (%);Others (%);String (%);Memory (%);IO (%);Time (s);Math (%);Pthread (%);
_ALL;_ALL;_ALL;0.16;99.68;0;1236;0;0.16;0;0;0;6.18;0;0;
knl03;_ALL;_ALL;0.16;99.68;0;1236;0;0.16;0;0;0;6.18;0;0;
knl03;1136773;_ALL;0.16;99.68;0;1236;0;0.16;0;0;0;6.18;0;0;
knl03;1136773;1136773;0.16;99.68;0;1236;0;0.16;0;0;0;6.18;0;0;
