loop_id;module;function_name;function_id;source_info;level;time_p;time_s;time_s_min;time_s_avg;time_s_max;cov_deviation;nb_threads;
4;nbody3.g;move_particles._omp_fn.0;8;;Innermost;99.83;4.41;4.4;4.4;4.41;0.24023568630219;2;
3;nbody3.g;move_particles._omp_fn.0;8;;Outermost;0.06;0;0;0;0;0;1;
6;nbody3.g;init;9;;Single;0.06;0;0;0;0;0;1;
1;nbody3.g;move_particles._omp_fn.0;8;;Single;0.06;0;0;0;0;0;1;
