block_id;module;source_info;time_p;time_s;time_s_min;time_s_avg;time_s_max;cov_deviation;nb_threads;
53;nbody.cl;;99.96;46.9;46.9;46.9;46.9;0;1;
54;nbody.cl;;0.01;0;0;0;0;0;1;
36;nbody.cl;;0.01;0;0;0;0;0;1;
