Node;Process;Thread;System (%);Binary (%);MPI (%);Nb Cycle Events;OMP (%);Others (%);String (%);Memory (%);IO (%);Time (s);Math (%);Pthread (%);
_ALL;_ALL;_ALL;0.03;99.97;0;9384;0;0;0;0;0;46.92;0;0;
knl03;_ALL;_ALL;0.03;99.97;0;9384;0;0;0;0;0;46.92;0;0;
knl03;960540;_ALL;0.03;99.97;0;9384;0;0;0;0;0;46.92;0;0;
knl03;960540;960540;0.03;99.97;0;9384;0;0;0;0;0;46.92;0;0;
