name;time_p;time_s;cpi_ratio;
/users/user4421/ProjetASM/nbody3D/maqao_2022-03-01_22-25-03/binaries/nbody2.g;99.82;8.42;;
/usr/lib/x86_64-linux-gnu/libc-2.31.so;0.12;0.01;;
kernel;0.06;0;;
