function_id;module;function_name;source_info;time_p;time_s;time_s_min;time_s_avg;time_s_max;cov_deviation;nb_threads;cats;
10;nbody_v3_openmp.cl;.omp_outlined.;;99.61;4.49;4.48;4.49;4.49;0.078483499586582;2;"100,0,0,0,0,0,0,0,0,0";
549;libomp.so.5;__kmpc_threadprivate_register_vec;;0.11;0.01;0.01;0.01;0.01;0;1;"0,0,100,0,0,0,0,0,0,0";
949;libc-2.31.so;__sched_yield;;0.06;0;0;0;0;0;1;"0,0,0,0,100,0,0,0,0,0";
889;libomp.so.5;__kmp_invoke_microtask;;0.06;0;0.01;0.01;0.01;0;1;"0,0,100,0,0,0,0,0,0,0";
718;libc-2.31.so;explicit_bzero;;0.06;0;0;0;0;0;1;"0,0,0,0,0,0,0,0,100,0";
308;libc-2.31.so;vprintf;;0.06;0;0;0;0;0;1;"0,0,0,0,0,0,100,0,0,0";
8;nbody_v3_openmp.cl;init;;0.06;0;0;0;0;0;1;"0,0,0,0,100,0,0,0,0,0";
