Nb Loops;If Clean;If FP Vect;If Fully Vect;IF FP Only
1;1.0003;1.0003;1.0677;1.2682;
2;1.0006;1.0006;1.0691;1.2705;
3;1.0006;1.0006;1.0697;1.2713;
