Nb Loops;If Clean;If FP Vect;If Fully Vect;IF FP Only
1;1.0003;1.0003;1.0681;1.2697;
2;1.0004;1.0005;1.0687;1.2708;
3;1.0004;1.0005;1.0693;1.2716;
