Node;Process;Thread;System (%);Binary (%);MPI (%);Nb Cycle Events;OMP (%);Others (%);String (%);Memory (%);IO (%);Time (s);Math (%);Pthread (%);
_ALL;_ALL;_ALL;0;99.94;0;1813;0;0.06;0;0;0;9.06;0;0;
knl03;_ALL;_ALL;0;99.94;0;1813;0;0.06;0;0;0;9.06;0;0;
knl03;1136490;_ALL;0;99.94;0;1813;0;0.06;0;0;0;9.06;0;0;
knl03;1136490;1136490;0;99.94;0;1813;0;0.06;0;0;0;9.06;0;0;
