loop_id;module;function_name;function_id;source_info;level;time_p;time_s;time_s_min;time_s_avg;time_s_max;cov_deviation;nb_threads;
2;nbody.g;move_particles;9;;Innermost;99.96;90.54;;;;;;
4;nbody.g;move_particles;9;;Single;0.01;0;;;;;;
3;nbody.g;move_particles;9;;Outermost;0.01;0;;;;;;
