Node;Process;Thread;System (%);Binary (%);MPI (%);Nb Cycle Events;OMP (%);Others (%);String (%);Memory (%);IO (%);Time (s);Math (%);Pthread (%);
_ALL;_ALL;_ALL;0.01;99.98;0;18135;0;0.01;0;0;0.01;90.67;0;0;
knl03;_ALL;_ALL;0.01;99.98;0;18135;0;0.01;0;0;0.01;90.67;0;0;
knl03;960217;_ALL;0.01;99.98;0;18135;0;0.01;0;0;0.01;90.67;0;0;
knl03;960217;960217;0.01;99.98;0;18135;0;0.01;0;0;0.01;90.67;0;0;
