name;time_p;time_s;cpi_ratio;
/users/user4421/ProjetASM/nbody3D/maqao_2022-02-27_12-30-38/binaries/nbody.gv;99.98;90.66;;
/usr/lib/x86_64-linux-gnu/libc-2.31.so;0.01;0.01;;
kernel;0.01;0;;
