name;time_p;time_s;cpi_ratio;
/users/user4421/ProjetASM/nbody3D/maqao_2022-03-03_20-04-55/binaries/nbody_v2_struct.g;99.94;9.06;;
/usr/lib/x86_64-linux-gnu/libc-2.31.so;0.06;0;;
