function_id;module;function_name;source_info;time_p;time_s;time_s_min;time_s_avg;time_s_max;cov_deviation;nb_threads;cats;
1;nbody_v2_struct.g;main;;99.94;9.06;;;;;;"100,0,0,0,0,0,0,0,0,0";
236;libc-2.31.so;random_r;;0.06;0;;;;;;"0,0,0,0,0,0,0,0,0,100";
