Nb Loops;If Clean;If FP Vect;If Fully Vect;IF FP Only
1;1.0003;1.0003;1.0681;1.2697;
2;1.0004;1.0006;1.0687;1.2705;
3;1.0004;1.0007;1.0693;1.2711;
4;1.0004;1.0007;1.0699;1.2715;
