name;time_p;time_s;cpi_ratio;
/users/user4421/ProjetASM/nbody3D/maqao_2022-03-01_00-43-38/binaries/nbody.cl;99.96;12.13;;
/usr/lib/x86_64-linux-gnu/libc-2.31.so;0.04;0;;
