Node;Process;Thread;System (%);Binary (%);MPI (%);Nb Cycle Events;OMP (%);Others (%);String (%);Memory (%);IO (%);Time (s);Math (%);Pthread (%);
_ALL;_ALL;_ALL;0;99.96;0;2428;0;0.04;0;0;0;12.14;0;0;
knl03;_ALL;_ALL;0;99.96;0;2428;0;0.04;0;0;0;12.14;0;0;
knl03;993017;_ALL;0;99.96;0;2428;0;0.04;0;0;0;12.14;0;0;
knl03;993017;993017;0;99.96;0;2428;0;0.04;0;0;0;12.14;0;0;
