function_id;module;function_name;source_info;time_p;time_s;time_s_min;time_s_avg;time_s_max;cov_deviation;nb_threads;cats;
6;nbody_v3_openmp.i;main;;99.71;3.49;;;;;;"100,0,0,0,0,0,0,0,0,0";
1859;libc-2.31.so;_dl_addr;;0.14;0;;;;;;"0,0,0,0,100,0,0,0,0,0";
11;ld-2.31.so;_dl_rtld_di_serinfo;;0.14;0;;;;;;"0,0,0,0,100,0,0,0,0,0";
