loop_id;module;function_name;function_id;source_info;level;time_p;time_s;time_s_min;time_s_avg;time_s_max;cov_deviation;nb_threads;
1;nbody_v3_openmp.i;main;6;;Innermost;99.29;3.47;;;;;;
4;nbody_v3_openmp.i;main;6;;Single;0.29;0.01;;;;;;
0;nbody_v3_openmp.i;main;6;;Outermost;0.14;0;;;;;;
